time,open,high,low,close,volume
2022-03-28 10:15:00,198.81,198.81,195.68,197.77,121343.0
2022-03-28 10:30:00,197.73,197.73,194.84,197.025,51526.0
2022-03-28 10:45:00,197.04,197.475,195.88,196.35,41217.0
2022-03-28 11:00:00,196.46,197.6,196.45,197.255,51036.0
2022-03-28 11:15:00,197.12,197.6563,196.08,197.22,40963.0
2022-03-28 11:30:00,197.27,197.27,193.83,194.46,105868.0
2022-03-28 11:45:00,194.415,194.6638,191.61,192.955,107539.0
2022-03-28 12:00:00,192.75,193.205,192.0914,192.61,31642.0
2022-03-28 12:15:00,192.52,193.44,191.29,191.29,36617.0
2022-03-28 12:30:00,191.0,191.35,190.25,190.33,50515.0
2022-03-28 12:45:00,190.25,191.79,190.2,190.57,47248.0
2022-03-28 13:00:00,190.3434,191.33,189.65,190.94,60147.0
2022-03-28 13:15:00,191.005,191.88,190.7801,191.27,53794.0
2022-03-28 13:30:00,191.23,193.49,191.22,193.325,51880.0
2022-03-28 13:45:00,193.4,194.47,193.16,193.85,78231.0
2022-03-28 14:00:00,193.96,194.92,193.53,194.85,56158.0
2022-03-28 14:15:00,194.95,195.1251,193.55,193.74,39447.0
2022-03-28 14:30:00,193.74,194.25,193.36,193.975,27759.0
2022-03-28 14:45:00,193.91,194.55,193.73,194.24,28572.0
2022-03-28 15:00:00,194.5,195.82,194.32,195.71,60009.0
2022-03-28 15:15:00,195.75,195.79,194.4601,195.14,42186.0
2022-03-28 15:30:00,195.22,196.79,195.05,196.605,56531.0
2022-03-28 15:45:00,196.61,196.86,195.4643,196.0,82284.0
2022-03-28 16:00:00,195.9,196.03,194.99,195.52,154614.0
2022-03-28 16:15:00,195.52,195.52,194.0,194.0,69610.0
2022-03-28 16:30:00,195.0,195.0,195.0,195.0,400.0
2022-03-28 16:45:00,195.52,195.52,195.52,195.52,16412.0
2022-03-28 17:00:00,193.01,193.01,193.01,193.01,100.0
